104.248.146.212,8443
104.248.146.212,2053
178.128.54.16,8443
45.39.198.43,8080
8.219.254.209,41101
104.248.154.142,2053
168.138.183.48,9090
47.237.12.70,54374
178.128.89.45,8443
18.141.114.130,52132
45.60.186.91,443
52.187.95.20,2053
47.236.173.166,587
158.178.240.232,10258
69.161.221.117,63258
103.180.161.123,587
175.41.148.129,443
146.56.37.72,34511
13.229.23.63,53443
167.172.90.142,8443
45.77.36.40,443
139.177.190.120,8443
43.156.6.97,10392
213.35.115.254,23936
128.199.218.226,443
13.250.38.94,443
103.133.223.50,2096
178.128.91.137,443
178.128.54.16,2053
139.180.144.170,666
51.79.161.46,20380
190.92.213.24,443
103.180.161.10,587
20.198.241.32,2053
129.150.62.1,24016
172.232.239.249,587
104.248.154.142,8443
5.223.41.214,8443
139.177.190.120,2053
18.141.114.130,50450
168.138.178.6,19990
146.190.192.88,8443
8.222.143.82,24245
172.232.231.24,587
8.222.212.110,1103
51.79.161.46,50622
158.178.240.232,23559
38.54.16.222,2053
103.133.223.52,2096
35.219.50.99,443
167.172.90.142,2053
18.141.140.120,30011
43.134.34.18,443
43.133.145.156,53136
103.186.1.209,2053
128.199.177.142,8443
45.39.198.40,8080
152.42.172.170,8443
8.219.197.113,45714
140.245.34.185,59320
168.138.160.54,19081
172.232.239.147,587
103.133.223.51,2096
119.81.201.154,9089
103.180.161.69,587
